	name	description	page
146	pfam_start	Pfam domain start	feature_page
147	pfam_end	Pfam domain end	feature_page
148	pirsf	PIRSF domain ID	feature_page
149	pirsf_start	PIRSF domain start	feature_page
150	pirsf_end	PIRSF domain end	feature_page
151	prints	Prints domain ID	feature_page
152	prints_start	Prints domain start	feature_page
153	prints_end	Prints domain end	feature_page
154	blastprodom	blastprodom ID	feature_page
155	blastprodom_start	blastprodom start	feature_page
156	blastprodom_end	blastprodom end	feature_page
157	scanprosite	PROSITE patterns ID	feature_page
158	scanprosite_start	PROSITE patterns start	feature_page
159	scanprosite_end	PROSITE patterns end	feature_page
160	pfscan	PROSITE profiles ID	feature_page
161	pfscan_start	PROSITE profiles start	feature_page
162	pfscan_end	PROSITE profiles end	feature_page
163	smart	SMART domains ID	feature_page
164	smart_start	SMART domains start	feature_page
165	smart_end	SMART domains end	feature_page
166	superfamily	Superfamily domains ID	feature_page
167	superfamily_start	Superfamily domains start	feature_page
168	superfamily_end	Superfamily domains end	feature_page
169	tigrfam	TIGRFAM domain ID	feature_page
170	tigrfam_start	TIGRFAM domain start	feature_page
171	tigrfam_end	TIGRFAM domain end	feature_page
172	interpro	Interpro ID	feature_page
173	interpro_short_description	Interpro Short Description	feature_page
174	interpro_description	Interpro Description	feature_page
175	interpro_start	Interpro start	feature_page
176	interpro_end	Interpro end	feature_page
177	sifts_import	PDB-ENSP mappings	feature_page
178	sifts_import_start	PDB-ENSP mappings start	feature_page
179	sifts_import_end	PDB-ENSP mappings end	feature_page
180	cdd	CDD	feature_page
181	cdd_start	CDD start	feature_page
182	cdd_end	CDD end	feature_page
183	mobidblite	MobiDBLite	feature_page
184	mobidblite_start	MobiDBLite start	feature_page
185	mobidblite_end	MobiDBLite end	feature_page
186	ncoils	Coiled-coils (Ncoils)	feature_page
187	ncoils_start	Coiled-coils (Ncoils) start	feature_page
188	ncoils_end	Coiled-coils (Ncoils) end	feature_page
189	seg	Low complexity (Seg)	feature_page
190	seg_start	Low complexity (Seg) start	feature_page
191	seg_end	Low complexity (Seg) end	feature_page
192	sfld	SFLD	feature_page
193	sfld_start	SFLD start	feature_page
194	sfld_end	SFLD end	feature_page
195	signalp	Cleavage site (Signalp)	feature_page
196	signalp_start	Cleavage site (Signalp) start	feature_page
197	signalp_end	Cleavage site (Signalp) end	feature_page
198	tmhmm	Transmembrane helices	feature_page
199	tmhmm_start	Transmembrane helices start	feature_page
200	tmhmm_end	Transmembrane helices end	feature_page
201	ensembl_gene_id	Gene stable ID	structure
202	ensembl_transcript_id	Transcript stable ID	structure
203	ensembl_peptide_id	Protein stable ID	structure
204	chromosome_name	Chromosome/scaffold name	structure
205	start_position	Gene start (bp)	structure
206	end_position	Gene end (bp)	structure
207	transcript_start	Transcript start (bp)	structure
208	transcript_end	Transcript end (bp)	structure
209	transcription_start_site	Transcription start site (TSS)	structure
210	transcript_length	Transcript length (including UTRs and CDS)	structure
211	strand	Strand	structure
212	external_gene_name	Gene name	structure
213	external_gene_source	Source of gene name	structure
214	5_utr_start	5' UTR start	structure
215	5_utr_end	5' UTR end	structure
216	3_utr_start	3' UTR start	structure
217	3_utr_end	3' UTR end	structure
218	cds_length	CDS Length	structure
219	transcript_count	Transcript count	structure
220	description	Gene description	structure
221	gene_biotype	Gene type	structure
222	exon_chrom_start	Exon region start (bp)	structure
223	exon_chrom_end	Exon region end (bp)	structure
224	is_constitutive	Constitutive exon	structure
225	rank	Exon rank in transcript	structure
226	phase	Start phase	structure
227	end_phase	End phase	structure
228	cdna_coding_start	cDNA coding start	structure
229	cdna_coding_end	cDNA coding end	structure
230	genomic_coding_start	Genomic coding start	structure
231	genomic_coding_end	Genomic coding end	structure
232	ensembl_exon_id	Exon stable ID	structure
233	cds_start	CDS start	structure
234	cds_end	CDS end	structure
235	ensembl_gene_id	Gene stable ID	homologs
236	ensembl_transcript_id	Transcript stable ID	homologs
237	ensembl_peptide_id	Protein stable ID	homologs
238	chromosome_name	Chromosome/scaffold name	homologs
239	start_position	Gene start (bp)	homologs
240	end_position	Gene end (bp)	homologs
241	strand	Strand	homologs
242	band	Karyotype band	homologs
243	external_gene_name	Gene name	homologs
244	external_gene_source	Source of gene name	homologs
245	transcript_count	Transcript count	homologs
246	percentage_gene_gc_content	Gene % GC content	homologs
247	description	Gene description	homologs
248	mspretus_homolog_ensembl_gene	Algerian mouse gene stable ID	homologs
249	mspretus_homolog_associated_gene_name	Algerian mouse gene name	homologs
250	mspretus_homolog_ensembl_peptide	Algerian mouse protein or transcript stable ID	homologs
251	mspretus_homolog_chromosome	Algerian mouse chromosome/scaffold name	homologs
252	mspretus_homolog_chrom_start	Algerian mouse chromosome/scaffold start (bp)	homologs
253	mspretus_homolog_chrom_end	Algerian mouse chromosome/scaffold end (bp)	homologs
254	mspretus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
255	mspretus_homolog_subtype	Last common ancestor with Algerian mouse	homologs
256	mspretus_homolog_orthology_type	Algerian mouse homology type	homologs
257	mspretus_homolog_perc_id	%id. target Algerian mouse gene identical to query gene	homologs
258	mspretus_homolog_perc_id_r1	%id. query gene identical to target Algerian mouse gene	homologs
259	mspretus_homolog_goc_score	Algerian mouse Gene-order conservation score	homologs
260	mspretus_homolog_wga_coverage	Algerian mouse Whole-genome alignment coverage	homologs
261	mspretus_homolog_dn	dN with Algerian mouse	homologs
262	mspretus_homolog_ds	dS with Algerian mouse	homologs
263	mspretus_homolog_orthology_confidence	Algerian mouse orthology confidence [0 low, 1 high]	homologs
264	vpacos_homolog_ensembl_gene	Alpaca gene stable ID	homologs
265	vpacos_homolog_associated_gene_name	Alpaca gene name	homologs
266	vpacos_homolog_ensembl_peptide	Alpaca protein or transcript stable ID	homologs
267	vpacos_homolog_chromosome	Alpaca chromosome/scaffold name	homologs
268	vpacos_homolog_chrom_start	Alpaca chromosome/scaffold start (bp)	homologs
269	vpacos_homolog_chrom_end	Alpaca chromosome/scaffold end (bp)	homologs
270	vpacos_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
271	vpacos_homolog_subtype	Last common ancestor with Alpaca	homologs
272	vpacos_homolog_orthology_type	Alpaca homology type	homologs
273	vpacos_homolog_perc_id	%id. target Alpaca gene identical to query gene	homologs
274	vpacos_homolog_perc_id_r1	%id. query gene identical to target Alpaca gene	homologs
275	vpacos_homolog_goc_score	Alpaca Gene-order conservation score	homologs
276	vpacos_homolog_wga_coverage	Alpaca Whole-genome alignment coverage	homologs
277	vpacos_homolog_dn	dN with Alpaca	homologs
278	vpacos_homolog_ds	dS with Alpaca	homologs
279	vpacos_homolog_orthology_confidence	Alpaca orthology confidence [0 low, 1 high]	homologs
280	pformosa_homolog_ensembl_gene	Amazon molly gene stable ID	homologs
281	pformosa_homolog_associated_gene_name	Amazon molly gene name	homologs
282	pformosa_homolog_ensembl_peptide	Amazon molly protein or transcript stable ID	homologs
283	pformosa_homolog_chromosome	Amazon molly chromosome/scaffold name	homologs
284	pformosa_homolog_chrom_start	Amazon molly chromosome/scaffold start (bp)	homologs
285	pformosa_homolog_chrom_end	Amazon molly chromosome/scaffold end (bp)	homologs
286	pformosa_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
287	pformosa_homolog_subtype	Last common ancestor with Amazon molly	homologs
288	pformosa_homolog_orthology_type	Amazon molly homology type	homologs
289	pformosa_homolog_perc_id	%id. target Amazon molly gene identical to query gene	homologs
290	pformosa_homolog_perc_id_r1	%id. query gene identical to target Amazon molly gene	homologs
291	pformosa_homolog_goc_score	Amazon molly Gene-order conservation score	homologs
292	pformosa_homolog_wga_coverage	Amazon molly Whole-genome alignment coverage	homologs
293	pformosa_homolog_dn	dN with Amazon molly	homologs
294	pformosa_homolog_ds	dS with Amazon molly	homologs
295	pformosa_homolog_orthology_confidence	Amazon molly orthology confidence [0 low, 1 high]	homologs
296	cpalliatus_homolog_ensembl_gene	Angola colobus gene stable ID	homologs
297	cpalliatus_homolog_associated_gene_name	Angola colobus gene name	homologs
298	cpalliatus_homolog_ensembl_peptide	Angola colobus protein or transcript stable ID	homologs
299	cpalliatus_homolog_chromosome	Angola colobus chromosome/scaffold name	homologs
300	cpalliatus_homolog_chrom_start	Angola colobus chromosome/scaffold start (bp)	homologs
301	cpalliatus_homolog_chrom_end	Angola colobus chromosome/scaffold end (bp)	homologs
302	cpalliatus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
303	cpalliatus_homolog_subtype	Last common ancestor with Angola colobus	homologs
304	cpalliatus_homolog_orthology_type	Angola colobus homology type	homologs
305	cpalliatus_homolog_perc_id	%id. target Angola colobus gene identical to query gene	homologs
306	cpalliatus_homolog_perc_id_r1	%id. query gene identical to target Angola colobus gene	homologs
307	cpalliatus_homolog_goc_score	Angola colobus Gene-order conservation score	homologs
308	cpalliatus_homolog_wga_coverage	Angola colobus Whole-genome alignment coverage	homologs
309	cpalliatus_homolog_dn	dN with Angola colobus	homologs
310	cpalliatus_homolog_ds	dS with Angola colobus	homologs
311	cpalliatus_homolog_orthology_confidence	Angola colobus orthology confidence [0 low, 1 high]	homologs
312	acarolinensis_homolog_ensembl_gene	Anole lizard gene stable ID	homologs
313	acarolinensis_homolog_associated_gene_name	Anole lizard gene name	homologs
314	acarolinensis_homolog_ensembl_peptide	Anole lizard protein or transcript stable ID	homologs
315	acarolinensis_homolog_chromosome	Anole lizard chromosome/scaffold name	homologs
316	acarolinensis_homolog_chrom_start	Anole lizard chromosome/scaffold start (bp)	homologs
317	acarolinensis_homolog_chrom_end	Anole lizard chromosome/scaffold end (bp)	homologs
318	acarolinensis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
319	acarolinensis_homolog_subtype	Last common ancestor with Anole lizard	homologs
320	acarolinensis_homolog_orthology_type	Anole lizard homology type	homologs
321	acarolinensis_homolog_perc_id	%id. target Anole lizard gene identical to query gene	homologs
322	acarolinensis_homolog_perc_id_r1	%id. query gene identical to target Anole lizard gene	homologs
323	acarolinensis_homolog_goc_score	Anole lizard Gene-order conservation score	homologs
324	acarolinensis_homolog_wga_coverage	Anole lizard Whole-genome alignment coverage	homologs
325	acarolinensis_homolog_dn	dN with Anole lizard	homologs
326	acarolinensis_homolog_ds	dS with Anole lizard	homologs
327	acarolinensis_homolog_orthology_confidence	Anole lizard orthology confidence [0 low, 1 high]	homologs
328	dnovemcinctus_homolog_ensembl_gene	Armadillo gene stable ID	homologs
329	dnovemcinctus_homolog_associated_gene_name	Armadillo gene name	homologs
330	dnovemcinctus_homolog_ensembl_peptide	Armadillo protein or transcript stable ID	homologs
331	dnovemcinctus_homolog_chromosome	Armadillo chromosome/scaffold name	homologs
332	dnovemcinctus_homolog_chrom_start	Armadillo chromosome/scaffold start (bp)	homologs
333	dnovemcinctus_homolog_chrom_end	Armadillo chromosome/scaffold end (bp)	homologs
334	dnovemcinctus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
335	dnovemcinctus_homolog_subtype	Last common ancestor with Armadillo	homologs
336	dnovemcinctus_homolog_orthology_type	Armadillo homology type	homologs
337	dnovemcinctus_homolog_perc_id	%id. target Armadillo gene identical to query gene	homologs
338	dnovemcinctus_homolog_perc_id_r1	%id. query gene identical to target Armadillo gene	homologs
339	dnovemcinctus_homolog_goc_score	Armadillo Gene-order conservation score	homologs
340	dnovemcinctus_homolog_wga_coverage	Armadillo Whole-genome alignment coverage	homologs
341	dnovemcinctus_homolog_dn	dN with Armadillo	homologs
342	dnovemcinctus_homolog_ds	dS with Armadillo	homologs
343	dnovemcinctus_homolog_orthology_confidence	Armadillo orthology confidence [0 low, 1 high]	homologs
344	rbieti_homolog_ensembl_gene	Black snub-nosed monkey gene stable ID	homologs
345	rbieti_homolog_associated_gene_name	Black snub-nosed monkey gene name	homologs
346	rbieti_homolog_ensembl_peptide	Black snub-nosed monkey protein or transcript stable ID	homologs
347	rbieti_homolog_chromosome	Black snub-nosed monkey chromosome/scaffold name	homologs
348	rbieti_homolog_chrom_start	Black snub-nosed monkey chromosome/scaffold start (bp)	homologs
349	rbieti_homolog_chrom_end	Black snub-nosed monkey chromosome/scaffold end (bp)	homologs
350	rbieti_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
351	rbieti_homolog_subtype	Last common ancestor with Black snub-nosed monkey	homologs
352	rbieti_homolog_orthology_type	Black snub-nosed monkey homology type	homologs
353	rbieti_homolog_perc_id	%id. target Black snub-nosed monkey gene identical to query gene	homologs
354	rbieti_homolog_perc_id_r1	%id. query gene identical to target Black snub-nosed monkey gene	homologs
355	rbieti_homolog_goc_score	Black snub-nosed monkey Gene-order conservation score	homologs
356	rbieti_homolog_wga_coverage	Black snub-nosed monkey Whole-genome alignment coverage	homologs
357	rbieti_homolog_dn	dN with Black snub-nosed monkey	homologs
358	rbieti_homolog_ds	dS with Black snub-nosed monkey	homologs
359	rbieti_homolog_orthology_confidence	Black snub-nosed monkey orthology confidence [0 low, 1 high]	homologs
360	sboliviensis_homolog_ensembl_gene	Bolivian squirrel monkey gene stable ID	homologs
361	sboliviensis_homolog_associated_gene_name	Bolivian squirrel monkey gene name	homologs
362	sboliviensis_homolog_ensembl_peptide	Bolivian squirrel monkey protein or transcript stable ID	homologs
363	sboliviensis_homolog_chromosome	Bolivian squirrel monkey chromosome/scaffold name	homologs
364	sboliviensis_homolog_chrom_start	Bolivian squirrel monkey chromosome/scaffold start (bp)	homologs
365	sboliviensis_homolog_chrom_end	Bolivian squirrel monkey chromosome/scaffold end (bp)	homologs
366	sboliviensis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
367	sboliviensis_homolog_subtype	Last common ancestor with Bolivian squirrel monkey	homologs
368	sboliviensis_homolog_orthology_type	Bolivian squirrel monkey homology type	homologs
369	sboliviensis_homolog_perc_id	%id. target Bolivian squirrel monkey gene identical to query gene	homologs
370	sboliviensis_homolog_perc_id_r1	%id. query gene identical to target Bolivian squirrel monkey gene	homologs
371	sboliviensis_homolog_goc_score	Bolivian squirrel monkey Gene-order conservation score	homologs
372	sboliviensis_homolog_wga_coverage	Bolivian squirrel monkey Whole-genome alignment coverage	homologs
373	sboliviensis_homolog_dn	dN with Bolivian squirrel monkey	homologs
374	sboliviensis_homolog_ds	dS with Bolivian squirrel monkey	homologs
375	sboliviensis_homolog_orthology_confidence	Bolivian squirrel monkey orthology confidence [0 low, 1 high]	homologs
376	ppaniscus_homolog_ensembl_gene	Bonobo gene stable ID	homologs
377	ppaniscus_homolog_associated_gene_name	Bonobo gene name	homologs
378	ppaniscus_homolog_ensembl_peptide	Bonobo protein or transcript stable ID	homologs
379	ppaniscus_homolog_chromosome	Bonobo chromosome/scaffold name	homologs
380	ppaniscus_homolog_chrom_start	Bonobo chromosome/scaffold start (bp)	homologs
381	ppaniscus_homolog_chrom_end	Bonobo chromosome/scaffold end (bp)	homologs
382	ppaniscus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
383	ppaniscus_homolog_subtype	Last common ancestor with Bonobo	homologs
384	ppaniscus_homolog_orthology_type	Bonobo homology type	homologs
385	ppaniscus_homolog_perc_id	%id. target Bonobo gene identical to query gene	homologs
386	ppaniscus_homolog_perc_id_r1	%id. query gene identical to target Bonobo gene	homologs
387	ppaniscus_homolog_goc_score	Bonobo Gene-order conservation score	homologs
388	ppaniscus_homolog_wga_coverage	Bonobo Whole-genome alignment coverage	homologs
389	ppaniscus_homolog_dn	dN with Bonobo	homologs
390	ppaniscus_homolog_ds	dS with Bonobo	homologs
391	ppaniscus_homolog_orthology_confidence	Bonobo orthology confidence [0 low, 1 high]	homologs
392	caperea_homolog_ensembl_gene	Brazilian guinea pig gene stable ID	homologs
393	caperea_homolog_associated_gene_name	Brazilian guinea pig gene name	homologs
394	caperea_homolog_ensembl_peptide	Brazilian guinea pig protein or transcript stable ID	homologs
395	caperea_homolog_chromosome	Brazilian guinea pig chromosome/scaffold name	homologs
396	caperea_homolog_chrom_start	Brazilian guinea pig chromosome/scaffold start (bp)	homologs
397	caperea_homolog_chrom_end	Brazilian guinea pig chromosome/scaffold end (bp)	homologs
398	caperea_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
399	caperea_homolog_subtype	Last common ancestor with Brazilian guinea pig	homologs
400	caperea_homolog_orthology_type	Brazilian guinea pig homology type	homologs
401	caperea_homolog_perc_id	%id. target Brazilian guinea pig gene identical to query gene	homologs
402	caperea_homolog_perc_id_r1	%id. query gene identical to target Brazilian guinea pig gene	homologs
403	caperea_homolog_goc_score	Brazilian guinea pig Gene-order conservation score	homologs
404	caperea_homolog_wga_coverage	Brazilian guinea pig Whole-genome alignment coverage	homologs
405	caperea_homolog_dn	dN with Brazilian guinea pig	homologs
406	caperea_homolog_ds	dS with Brazilian guinea pig	homologs
407	caperea_homolog_orthology_confidence	Brazilian guinea pig orthology confidence [0 low, 1 high]	homologs
408	ogarnettii_homolog_ensembl_gene	Bushbaby gene stable ID	homologs
409	ogarnettii_homolog_associated_gene_name	Bushbaby gene name	homologs
410	ogarnettii_homolog_ensembl_peptide	Bushbaby protein or transcript stable ID	homologs
411	ogarnettii_homolog_chromosome	Bushbaby chromosome/scaffold name	homologs
412	ogarnettii_homolog_chrom_start	Bushbaby chromosome/scaffold start (bp)	homologs
413	ogarnettii_homolog_chrom_end	Bushbaby chromosome/scaffold end (bp)	homologs
414	ogarnettii_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
415	ogarnettii_homolog_subtype	Last common ancestor with Bushbaby	homologs
416	ogarnettii_homolog_orthology_type	Bushbaby homology type	homologs
417	ogarnettii_homolog_perc_id	%id. target Bushbaby gene identical to query gene	homologs
418	ogarnettii_homolog_perc_id_r1	%id. query gene identical to target Bushbaby gene	homologs
419	ogarnettii_homolog_goc_score	Bushbaby Gene-order conservation score	homologs
420	ogarnettii_homolog_wga_coverage	Bushbaby Whole-genome alignment coverage	homologs
421	ogarnettii_homolog_dn	dN with Bushbaby	homologs
422	ogarnettii_homolog_ds	dS with Bushbaby	homologs
423	ogarnettii_homolog_orthology_confidence	Bushbaby orthology confidence [0 low, 1 high]	homologs
424	cintestinalis_homolog_ensembl_gene	C.intestinalis gene stable ID	homologs
425	cintestinalis_homolog_associated_gene_name	C.intestinalis gene name	homologs
426	cintestinalis_homolog_ensembl_peptide	C.intestinalis protein or transcript stable ID	homologs
427	cintestinalis_homolog_chromosome	C.intestinalis chromosome/scaffold name	homologs
428	cintestinalis_homolog_chrom_start	C.intestinalis chromosome/scaffold start (bp)	homologs
429	cintestinalis_homolog_chrom_end	C.intestinalis chromosome/scaffold end (bp)	homologs
430	cintestinalis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
431	cintestinalis_homolog_subtype	Last common ancestor with C.intestinalis	homologs
432	cintestinalis_homolog_orthology_type	C.intestinalis homology type	homologs
433	cintestinalis_homolog_perc_id	%id. target C.intestinalis gene identical to query gene	homologs
434	cintestinalis_homolog_perc_id_r1	%id. query gene identical to target C.intestinalis gene	homologs
435	cintestinalis_homolog_goc_score	C.intestinalis Gene-order conservation score	homologs
436	cintestinalis_homolog_wga_coverage	C.intestinalis Whole-genome alignment coverage	homologs
437	cintestinalis_homolog_dn	dN with C.intestinalis	homologs
438	cintestinalis_homolog_ds	dS with C.intestinalis	homologs
439	cintestinalis_homolog_orthology_confidence	C.intestinalis orthology confidence [0 low, 1 high]	homologs
440	csavignyi_homolog_ensembl_gene	C.savignyi gene stable ID	homologs
441	csavignyi_homolog_associated_gene_name	C.savignyi gene name	homologs
442	csavignyi_homolog_ensembl_peptide	C.savignyi protein or transcript stable ID	homologs
443	csavignyi_homolog_chromosome	C.savignyi chromosome/scaffold name	homologs
444	csavignyi_homolog_chrom_start	C.savignyi chromosome/scaffold start (bp)	homologs
445	csavignyi_homolog_chrom_end	C.savignyi chromosome/scaffold end (bp)	homologs
446	csavignyi_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
447	csavignyi_homolog_subtype	Last common ancestor with C.savignyi	homologs
448	csavignyi_homolog_orthology_type	C.savignyi homology type	homologs
