"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"padjust"
"93"	"GO:0050776"	0.0389277292495102	1.4193577510834	886.381820369368	897	925	"regulation of immune response"	1
"94"	"GO:1901568"	0.0390366496032036	3.37774960380349	149.487096192023	154	156	"fatty acid derivative metabolic process"	1
"95"	"GO:0051168"	0.0393210563378191	2.75094763145078	183.025867773567	188	191	"nuclear export"	1
"96"	"GO:0002223"	0.0395881021162522	5.12781431823931	113.073572760633	117	118	"stimulatory C-type lectin receptor signaling pathway"	1
"97"	"GO:0038095"	0.0395881021162522	5.12781431823931	113.073572760633	117	118	"Fc-epsilon receptor signaling pathway"	1
"98"	"GO:0006793"	0.0398650865358679	1.20258755052025	3078.85923118571	3097	3213	"phosphorus metabolic process"	1
"99"	"GO:0016567"	0.0399446081484028	1.46571647254767	752.226734043193	762	785	"protein ubiquitination"	1
"100"	"GO:0072330"	0.0408012942543361	2.06659423531667	275.976177585273	282	288	"monocarboxylic acid biosynthetic process"	1
"101"	"GO:0010675"	0.0410299406685357	5.08366533864542	112.115322144017	116	117	"regulation of cellular carbohydrate metabolic process"	1
"102"	"GO:0035303"	0.0416839591854351	2.72133646700121	181.109366540336	186	189	"regulation of dephosphorylation"	1
"103"	"GO:0045766"	0.0416839591854351	2.72133646700121	181.109366540336	186	189	"positive regulation of angiogenesis"	1
"104"	"GO:0050778"	0.0419410050874421	1.49817061176316	668.858930397642	678	698	"positive regulation of immune response"	1
"105"	"GO:0071706"	0.042522009531408	5.03952194258252	111.157071527402	115	116	"tumor necrosis factor superfamily cytokine production"	1
"106"	"GO:0097530"	0.042522009531408	5.03952194258252	111.157071527402	115	116	"granulocyte migration"	1
"107"	"GO:0002218"	0.0428289548068101	2.05167529341598	274.059676352042	280	286	"activation of innate immune response"	1
"108"	"GO:0044257"	0.0440378487120038	1.49124819719418	665.984178547795	675	695	"cellular protein catabolic process"	1
"109"	"GO:2000134"	0.0440659397715416	4.99538412899146	110.198820910786	114	115	"negative regulation of G1/S transition of mitotic cell cycle"	1
"110"	"GO:0030163"	0.0440725871089758	1.43180158730159	799.181014257354	809	834	"protein catabolic process"	1
"111"	"GO:0000209"	0.0449468023881784	2.03676016441974	272.143175118811	278	284	"protein polyubiquitination"	1
"112"	"GO:0051046"	0.0469243588893602	1.46866509718588	688.982193346568	698	719	"regulation of secretion"	1
"113"	"GO:0031146"	0.0481038483000657	Inf	68.0357937797028	71	71	"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"	1
"114"	"GO:0018212"	0.0489911104200875	1.77491541393636	356.469229380978	363	372	"peptidyl-tyrosine modification"	1
"115"	"GO:0050715"	0.0490259125665383	4.86300417246175	107.32406906094	111	112	"positive regulation of cytokine secretion"	1
"116"	"GO:1903555"	0.0490259125665383	4.86300417246175	107.32406906094	111	112	"regulation of tumor necrosis factor superfamily cytokine production"	1
"117"	"GO:1903825"	0.0490259125665383	4.86300417246175	107.32406906094	111	112	"organic acid transmembrane transport"	1
"118"	"GO:1905039"	0.0490259125665383	4.86300417246175	107.32406906094	111	112	"carboxylic acid transmembrane transport"	1
